date,spy_close,vix_close,vix3m_close,hyg_close,lqd_close,tlt_close,hy_oas,t10y2y,nfci
2021-09-14,415.13494873046875,19.459999084472656,22.549999237060547,67.12141418457031,112.30638122558594,127.67412567138672,1.87,1.07,
2021-09-15,418.6024169921875,18.18000030517578,21.760000228881836,67.22055053710938,112.1742935180664,127.226318359375,1.85,1.1,
2021-09-16,417.9387512207031,18.690000534057617,21.809999465942383,67.19767761230469,112.01741790771484,126.6432876586914,1.84,1.11,
2021-09-17,413.86767578125,20.809999465942383,23.219999313354492,67.11380767822266,111.76968383789062,126.0350112915039,1.83,1.14,-0.651
2021-09-20,406.966796875,25.709999084472656,26.399999618530273,66.87734985351562,112.11647033691406,127.59806060791016,1.84,1.08,
2021-09-21,406.5823059082031,24.360000610351562,25.469999313354492,66.99177551269531,112.10823822021484,127.4882583618164,1.83,1.11,
2021-09-22,410.5484619140625,20.8700008392334,23.049999237060547,67.11380767822266,112.42201232910156,128.2487030029297,1.83,1.07,
2021-09-23,415.5366516113281,18.6299991607666,21.3700008392334,67.14431762695312,111.64583587646484,125.35057830810547,1.81,1.14,
2021-09-24,416.22119140625,17.75,20.81999969482422,67.0451889038086,111.40636444091797,124.1255111694336,1.8,1.18,-0.652
2021-09-27,415.0303649902344,18.760000228881836,21.399999618530273,66.98414611816406,111.34857940673828,123.6692123413086,1.78,1.17,
2021-09-28,406.6667175292969,23.25,24.030000686645508,66.6790771484375,110.15953826904297,121.74286651611328,1.8,1.23,
2021-09-29,407.3511657714844,22.559999465942383,23.719999313354492,66.80110168457031,110.13477325439453,121.9541015625,1.81,1.25,
2021-09-30,402.3724060058594,23.139999389648438,23.8700008392334,66.7248764038086,109.84574127197266,121.93720245361328,1.85,1.24,
2021-10-01,407.15423583984375,21.100000381469727,22.950000762939453,66.884765625,110.64412689208984,122.96334838867188,1.85,1.21,-0.652
2021-10-04,401.90362548828125,22.959999084472656,24.110000610351562,66.64756774902344,110.46210479736328,122.65042877197266,1.85,1.22,
2021-10-05,406.08538818359375,21.299999237060547,23.110000610351562,66.61695861816406,110.00706481933594,121.46595764160156,1.84,1.26,
2021-10-06,407.7731018066406,21.0,22.84000015258789,66.57870483398438,110.04016876220703,122.15125274658203,1.84,1.23,
2021-10-07,411.2986145019531,19.540000915527344,22.1200008392334,66.5863265991211,109.55206298828125,120.87380981445312,1.85,1.26,
2021-10-08,410.5484619140625,18.770000457763672,21.8799991607666,66.38739776611328,109.04742431640625,120.02777862548828,1.84,1.29,-0.65
2021-10-11,407.576171875,20.0,22.389999389648438,66.18081665039062,108.8405990600586,119.7232437133789,,,
2021-10-12,406.5729064941406,19.850000381469727,22.329999923706055,66.3031997680664,109.5354995727539,121.77051544189453,1.82,1.24,
2021-10-13,408.0355224609375,18.639999389648438,21.540000915527344,66.4792251586914,110.0898208618164,122.95489501953125,1.79,1.19,
2021-10-14,414.8990478515625,16.860000610351562,20.3700008392334,66.85415649414062,110.61101531982422,123.41172790527344,1.81,1.16,
2021-10-15,418.058837890625,16.299999237060547,20.299999237060547,66.73941040039062,110.21390533447266,122.6926040649414,1.76,1.18,-0.645
2021-10-18,419.2965087890625,16.309999465942383,20.290000915527344,66.70877838134766,110.12288665771484,123.26790618896484,1.72,1.15,
2021-10-19,422.53131103515625,15.699999809265137,19.979999542236328,66.7546615600586,109.5189437866211,121.56747436523438,1.72,1.24,
2021-10-20,424.1908874511719,15.489999771118164,19.8700008392334,66.77763366699219,109.25421905517578,120.74691772460938,1.75,1.25,
2021-10-21,425.29730224609375,15.010000228881836,19.479999542236328,66.60932159423828,109.0225601196289,120.60308837890625,1.74,1.23,
2021-10-22,424.8565979003906,15.430000305175781,20.010000228881836,66.44859313964844,109.46106719970703,121.93121337890625,1.72,1.18,-0.635
2021-10-25,427.13507080078125,15.239999771118164,19.559999465942383,66.56341552734375,109.51070404052734,121.74519348144531,1.73,1.17,
2021-10-26,427.5195007324219,15.979999542236328,20.110000610351562,66.57870483398438,109.98220825195312,122.75186920166016,1.71,1.16,
2021-10-27,425.6254577636719,16.979999542236328,20.889999389648438,66.52510833740234,110.65237426757812,124.98522186279297,1.69,1.04,
2021-10-28,429.7322692871094,16.530000686645508,20.479999542236328,66.69349670410156,110.4869155883789,124.56227111816406,1.69,1.07,
2021-10-29,430.60430908203125,16.260000228881836,20.3700008392334,66.51748657226562,110.42900848388672,124.94295501708984,1.69,1.07,-0.62
2021-11-01,431.3450012207031,16.40999984741211,20.389999389648438,66.44610595703125,110.23173522949219,124.04338073730469,1.69,1.08,
2021-11-02,433.0889892578125,16.030000686645508,20.100000381469727,66.6072998046875,110.65447235107422,124.593994140625,1.71,1.1,
2021-11-03,435.7330322265625,15.100000381469727,19.5,66.73778533935547,110.37263488769531,123.30644226074219,1.7,1.13,
2021-11-04,437.7864990234375,15.4399995803833,19.700000762939453,66.91433715820312,110.95289611816406,124.60242462158203,1.73,1.12,
2021-11-05,439.305419921875,16.479999542236328,20.489999771118164,67.16766357421875,111.7652359008789,126.46599578857422,1.73,1.06,-0.603
2021-11-08,439.68048095703125,17.219999313354492,20.979999542236328,67.08322143554688,111.5082778930664,126.22879028320312,1.67,1.06,
2021-11-09,438.22711181640625,17.780000686645508,21.40999984741211,67.1369400024414,111.80667114257812,127.87205505371094,1.67,1.05,
2021-11-10,434.70172119140625,18.729999542236328,22.0,66.76081085205078,110.66277313232422,125.5341796875,1.66,1.05,
2021-11-11,434.8422546386719,17.65999984741211,21.3799991607666,66.6456527709961,110.3478012084961,125.34783935546875,,,
2021-11-12,438.1240539550781,16.290000915527344,20.690000534057617,66.66868591308594,110.23173522949219,124.79724884033203,1.69,1.05,-0.584
2021-11-15,438.2740478515625,16.489999771118164,20.8700008392334,66.59194946289062,109.39448547363281,123.2302474975586,1.7,1.1,
2021-11-16,440.0086669921875,16.3700008392334,20.899999618530273,66.62264251708984,109.2121353149414,122.91680145263672,1.72,1.09,
2021-11-17,438.9397888183594,17.110000610351562,21.579999923706055,66.55355072021484,109.6514663696289,123.89089965820312,1.74,1.08,
2021-11-18,440.4306335449219,17.59000015258789,21.899999618530273,66.49987030029297,109.90013122558594,124.35674285888672,1.73,1.07,
2021-11-19,439.6429443359375,17.90999984741211,21.920000076293945,66.44610595703125,110.3145751953125,125.66968536376953,1.73,1.02,-0.566
2021-11-22,438.4053039550781,19.170000076293945,22.6299991607666,66.19278717041016,109.3530502319336,124.19586944580078,1.71,1.0,
2021-11-23,438.9866638183594,19.3799991607666,22.450000762939453,66.10063934326172,108.57380676269531,122.40011596679688,1.73,1.07,
2021-11-24,440.1586608886719,18.579999923706055,21.899999618530273,66.08525848388672,109.09606170654297,124.36524963378906,1.72,1.0,
2021-11-26,430.3417053222656,28.6200008392334,29.170000076293945,65.6093521118164,109.98301696777344,127.50786590576172,1.82,0.98,-0.55
2021-11-29,435.6205139160156,22.959999084472656,25.040000915527344,66.01620483398438,110.05765533447266,126.48294830322266,1.81,1.01,
2021-11-30,427.1444396972656,27.190000534057617,28.1299991607666,65.73987579345703,110.29806518554688,128.40574645996094,1.81,0.91,
2021-12-01,422.40008544921875,31.1200008392334,30.790000915527344,65.7491226196289,110.31383514404297,129.1978302001953,1.81,0.87,
2021-12-02,428.86962890625,27.950000762939453,29.149999618530273,66.23429107666016,110.57122039794922,129.3589630126953,1.8,0.81,
2021-12-03,425.137939453125,30.670000076293945,31.780000686645508,66.23429107666016,111.49301147460938,130.9025421142578,1.81,0.75,-0.539
2021-12-06,430.1729431152344,27.18000030517578,28.8799991607666,66.52696990966797,110.9283447265625,129.10455322265625,1.79,0.78,
2021-12-07,439.071044921875,21.889999389648438,24.959999084472656,66.8812484741211,110.97816467285156,128.0614013671875,1.75,0.78,
2021-12-08,440.23370361328125,19.899999618530273,23.6299991607666,66.86583709716797,110.23907470703125,125.84788513183594,1.79,0.84,
2021-12-09,437.2613830566406,21.579999923706055,24.65999984741211,66.56547546386719,110.14775085449219,126.55181884765625,1.81,0.79,
2021-12-10,441.3775329589844,18.690000534057617,23.18000030517578,66.71955108642578,110.27226257324219,126.24651336669922,1.83,0.81,-0.537
2021-12-13,437.46771240234375,20.309999465942383,24.31999969482422,66.71955108642578,110.7705078125,128.1123046875,1.82,0.76,
2021-12-14,434.45794677734375,21.889999389648438,25.350000381469727,66.60400390625,110.27226257324219,127.80699920654297,1.82,0.77,
2021-12-15,441.2463684082031,19.290000915527344,23.299999237060547,66.85816955566406,110.41346740722656,126.5772476196289,1.83,0.78,
2021-12-16,437.35516357421875,20.56999969482422,24.3700008392334,66.80867004394531,110.41011810302734,126.62647247314453,1.87,0.8,
2021-12-17,432.7004089355469,21.56999969482422,25.3799991607666,66.74687957763672,110.6680679321289,128.0614013671875,1.87,0.75,-0.54
2021-12-20,428.0993957519531,22.8700008392334,26.309999465942383,66.63092803955078,110.18550872802734,127.10201263427734,1.89,0.78,
2021-12-21,435.7020568847656,21.010000228881836,25.0,66.98643493652344,110.40180969238281,126.61800384521484,1.88,0.78,
